City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Dire,ML,2021-06-28 20:42:46,12.2833,-10.9667,72.63,82,99,5.59
274,Baymak,RU,2021-06-28 20:42:46,52.5933,58.3225,65.1,82,100,1.3
275,Kirakira,SB,2021-06-28 20:42:47,-10.4544,161.9205,78.64,78,100,5.91
276,Guerrero Negro,MX,2021-06-28 20:42:47,27.9769,-114.0611,76.53,53,4,14.88
277,Bozhou,CN,2021-06-28 20:42:47,33.8772,115.7703,78.01,73,52,3.87
278,Balkanabat,TM,2021-06-28 20:42:48,39.5108,54.3671,94.12,18,4,6.04
279,Ocos,GT,2021-06-28 20:42:48,14.5094,-92.1933,84.72,69,43,6.2
280,Saskylakh,RU,2021-06-28 20:42:48,71.9167,114.0833,41.23,69,100,9.8
281,Kalavad,IN,2021-06-28 20:42:49,22.2167,70.3833,83.97,66,99,12.97
282,Bayonne,FR,2021-06-28 20:42:49,43.3333,-1.4167,64.89,72,90,21.85
283,Olafsvik,IS,2021-06-28 20:42:49,64.8945,-23.7142,50.65,86,100,8.95
284,George,ZA,2021-06-28 20:42:49,-33.963,22.4617,47.75,100,75,5.75
285,Eidfjord,NO,2021-06-28 20:42:50,60.4675,7.0719,72.59,81,14,4.47
286,Haapiti,PF,2021-06-28 20:42:50,-17.5667,-149.8667,82.13,69,34,15.59
287,Cidreira,BR,2021-06-28 20:42:50,-30.1811,-50.2056,49.32,63,68,16.06
288,Fort-Shevchenko,KZ,2021-06-28 20:42:51,44.5086,50.263,85.41,44,61,5.21
289,Dimapur,IN,2021-06-28 20:42:51,25.9,93.7333,77.04,89,99,3.51
290,Paramonga,PE,2021-06-28 20:42:51,-10.6667,-77.8333,66.36,76,100,8.34
291,Kaeo,NZ,2021-06-28 20:42:52,-35.1,173.7833,49.32,94,84,9.6
292,Bereda,ES,2021-06-28 20:42:52,43.2686,-7.5406,55.92,90,30,2.42
293,Mangrol,IN,2021-06-28 20:42:52,21.1167,70.1167,84.02,76,90,11.88
