City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Balkhash,KZ,74.97,overcast clouds,46.844,74.9804,Family
301,Padang,ID,79.02,overcast clouds,-0.9492,100.3543,Mercure Padang
302,Half Moon Bay,US,82.63,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
303,Inhambane,MZ,69.78,clear sky,-23.865,35.3833,Oceano
305,Olden,NO,72.34,overcast clouds,61.8364,6.8064,Nesset Fjordcamping Olden
306,Bonthe,SL,78.28,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
307,Udgir,IN,80.74,moderate rain,18.3833,77.1167,Sarpmitra Ganesh Kallure
308,Nioro,GM,84.45,scattered clouds,13.35,-15.75,
309,Poum,NC,70.16,overcast clouds,-20.2333,164.0167,Gîte kajeon
310,Lorica,CO,88.74,scattered clouds,9.2365,-75.8135,Hostal Raíces del Sabor
311,Bahar,IR,73.89,broken clouds,34.9072,48.4414,نمایندگی سایپا اسدی 20406
312,Florianopolis,BR,63.12,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
313,Doba,TD,74.75,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
314,Chicama,PE,64.94,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
315,Port Hardy,CA,59.18,mist,50.6996,-127.4199,Airport Inn
316,Yarada,IN,84.52,mist,17.65,83.2667,Jeevan
317,Fort Nelson,CA,85.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
318,Ouricuri,BR,85.3,overcast clouds,-7.8825,-40.0817,Sertão Pousada
323,Ossora,RU,55.87,overcast clouds,59.2353,163.0719,
324,Yar-Sale,RU,53.87,overcast clouds,66.8333,70.8333,Yalemd
325,Mandiana,GN,83.17,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
326,Tura,IN,74.25,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
327,Tansen,NP,66.92,broken clouds,27.8673,83.5467,Taksar Stay
328,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
329,Jhabua,IN,80.96,light rain,22.7667,74.6,aditi residency
330,Northam,GB,66.29,overcast clouds,51.0333,-4.2167,Durrant House Hotel
331,San Felipe,VE,82.67,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
332,Richards Bay,ZA,70.61,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
334,Pingdu,CN,72.84,broken clouds,36.7844,119.9464,Dongfang Hotel
